"URBAN REDEVELOPMENT AUTHORITY - PRIVATE RESIDENTIAL PROPERTY TRANSACTIONS WITH CAVEATS LODGED OR OPTIONS ISSUED"

"S/N","Project Name","Street Name","Type","Postal District","Market Segment","Tenure","Type of Sale","No. of Units","Price ($)","Nett Price ($)","Area (Sqft)","Type of Area","Floor Level","Unit Price ($psf)","Date of Sale"
"1","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","770000","-","463","Strata","01 to 05","1664","Dec-2021"
"2","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","1215000","-","732","Strata","06 to 10","1660","Dec-2021"
"3","CASA CAMBIO","LIM TUA TOW ROAD","Condominium","19","OCR","Freehold","Resale","1","880000","-","581","Strata","01 to 05","1514","Dec-2021"
"4","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","1620000","-","1044","Strata","06 to 10","1552","Dec-2021"
"5","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","1650000","-","958","Strata","06 to 10","1722","Dec-2021"
"6","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","1500000","-","969","Strata","06 to 10","1548","Dec-2021"
"7","CASA CAMBIO","LIM TUA TOW ROAD","Condominium","19","OCR","Freehold","Resale","1","1020000","-","657","Strata","01 to 05","1553","Dec-2021"
"8","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","1230000","-","732","Strata","11 to 15","1680","Dec-2021"
"9","CASA CAMBIO","LIM TUA TOW ROAD","Condominium","19","OCR","Freehold","Resale","1","778888","-","538","Strata","01 to 05","1447","Dec-2021"
"10","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","725000","-","463","Strata","06 to 10","1566","Dec-2021"
"11","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","818000","-","495","Strata","06 to 10","1652","Dec-2021"
"12","BARTLEY RESIDENCES","LORONG HOW SUN","Apartment","19","OCR","99 yrs lease commencing from 2011","Resale","1","1150000","-","797","Strata","06 to 10","1444","Dec-2021"
"13","BARTLEY RESIDENCES","LORONG HOW SUN","Apartment","19","OCR","99 yrs lease commencing from 2011","Resale","1","1530000","-","1098","Strata","01 to 05","1394","Dec-2021"
"14","BARTLEY RESIDENCES","LORONG HOW SUN","Apartment","19","OCR","99 yrs lease commencing from 2011","Resale","1","714000","-","463","Strata","01 to 05","1543","Dec-2021"
"15","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","810000","-","517","Strata","11 to 15","1568","Dec-2021"
"16","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","1472880","-","969","Strata","06 to 10","1520","Nov-2021"
"17","BARTLEY RESIDENCES","LORONG HOW SUN","Apartment","19","OCR","99 yrs lease commencing from 2011","Resale","1","1120000","-","915","Strata","01 to 05","1224","Nov-2021"
"18","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","1395000","-","980","Strata","01 to 05","1424","Nov-2021"
"19","BARTLEY RESIDENCES","LORONG HOW SUN","Apartment","19","OCR","99 yrs lease commencing from 2011","Resale","1","1530000","-","1076","Strata","01 to 05","1421","Nov-2021"
"20","BARTLEY RIDGE","MOUNT VERNON ROAD","Condominium","13","RCR","99 yrs lease commencing from 2012","Resale","1","1938000","-","1302","Strata","11 to 15","1488","Nov-2021"
"21","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","1080000","-","657","Strata","16 to 20","1645","Nov-2021"
"22","BOTANIQUE AT BARTLEY","UPPER PAYA LEBAR ROAD","Condominium","19","OCR","99 yrs lease commencing from 2014","Resale","1","805000","-","517","Strata","11 to 15","1558","Nov-2021"
